0.1,3004.18787533368,1.11383081877561,1.15371871949122,311.283921883184,1492.26071905073,0.106927541524703
1.1,3240.37845489209,1.12492561008278,1.15158195252267,303.159829959535,1532.77717433697,1.11969220464344
2.1,3299.71226092095,1.12813187780736,1.15150387020006,301.141365038581,1542.4493550981,2.11322709176105
3.1,3333.96445678838,1.13006173713165,1.15156046051449,299.97133885204,1547.92363255948,3.09951917204063
4.1,3357.75197334747,1.13143384181647,1.15164521324154,299.153898845875,1551.672030003,4.08144488793071
5.1,3375.81194655441,1.1324913379059,1.15173460961181,298.529190742376,1554.48533120689,5.0603258914436
6.1,3390.2725994819,1.13334664282858,1.15182161498716,298.025588439763,1556.71564402952,6.03691444944495
7.1,3402.27018304943,1.13406116291981,1.15190405555885,297.604912377659,1558.54965800991,7.01169173375793
8.1,3412.48121893774,1.13467212972386,1.15198138247132,297.244451274631,1560.09788962799,7.98498956473205
9.1,3421.34026035451,1.1352037210462,1.15205362599072,296.929609279201,1561.43094398675,8.9570495714176
10.1,3429.14253124708,1.13567255206873,1.15212105903533,296.650470099273,1562.59657450127,9.92805458491625
11.1,3436.09750087335,1.13609080741227,1.15218408677881,296.400026139152,1563.62859308731,10.8981460244115
12.1,3442.35892277766,1.13646724364504,1.15224305912085,296.173099181237,1564.55165596904,11.8674379572982
13.1,3448.04289119687,1.13680857039391,1.15229831249459,295.96578196805,1565.3843271446,12.836023196728
14.1,3453.23914484848,1.13712013913729,1.15235020331163,295.7750670382,1566.14094422995,13.8039779242718
15.1,3458.01839812158,1.13740608616945,1.15239901003215,295.598569561653,1566.83274200355,14.7713667042603
16.1,3462.43733656784,1.13766970236001,1.15244498475324,295.434369767539,1567.46868673851,15.7382447839299
17.1,3466.54207016821,1.13791389721331,1.15248838455071,295.280932966482,1568.05611549289,16.7046580921991
18.1,3470.37057841598,1.13814088274608,1.15252940832218,295.136968177017,1568.6009990415,17.6706477906949
19.1,3473.95444370937,1.13835251450084,1.15256818351629,295.001405404483,1569.10830102204,18.6362498172649
