0.95125,0,3.2
0.372185,0.0791104,3.2
0.86901,0.386908,3.2
0.307831,0.223652,3.2
0.63651,0.706917,3.2
0.19025,0.329523,3.2
0.293952,0.904693,3.2
0.0397731,0.378416,3.2
-0.0994327,0.946039,3.2
-0.117581,0.361877,3.2
-0.475625,0.823807,3.2
-0.254604,0.282767,3.2
-0.769578,0.559131,3.2
-0.347604,0.154763,3.2
-0.930463,0.197776,3.2
-0.3805,-3.32644e-08,3.2
-0.930463,-0.197776,3.2
-0.347604,-0.154763,3.2
-0.769577,-0.559131,3.2
-0.254604,-0.282767,3.2
-0.475625,-0.823807,3.2
-0.117581,-0.361877,3.2
-0.0994326,-0.946039,3.2
0.0397732,-0.378416,3.2
0.293953,-0.904692,3.2
0.19025,-0.329523,3.2
0.636511,-0.706916,3.2
0.307831,-0.223652,3.2
0.86901,-0.386908,3.2
0.372185,-0.0791104,3.2
0.95125,0,3.2
