1.25880203917221,0.0328674124765157,0.005,0.4
1.25187371533801,0.0391441024877808,0.01,0.4
1.24494565533229,0.0453861495012743,0.015,0.4
1.23801764844327,0.0515935571322898,0.02,0.4
1.23107508632442,0.0577662387987525,0.025,0.4
1.22414099737237,0.0639042819227738,0.03,0.4
1.21720427661065,0.0700076452847037,0.035,0.4
1.21026736888914,0.0760763237428186,0.04,0.4
1.20332682326701,0.0821102958828833,0.045,0.4
1.19700621186646,0.0881098548451252,0.05,0.4
1.20209588403417,0.0941024047305085,0.055,0.4
1.21630942641992,0.100145713988798,0.06,0.4
1.23567959390448,0.106274080268238,0.065,0.4
1.25819712756372,0.112507680821872,0.07,0.4
1.18245885604105,0.11885940786214,0.075,0.4
0.55991656114095,0.121468886477013,0.08,0.4
0.244107517094963,0.120555689390695,0.085,0.4
0,0.125663706143592,0.09,0.4
