0.95125,0,3.2
0.187908,0.0297617,3.2
0.904693,0.293952,3.2
0.169514,0.0863717,3.2
0.769577,0.559131,3.2
0.134527,0.134527,3.2
0.559131,0.769577,3.2
0.0863717,0.169514,3.2
0.293952,0.904693,3.2
0.0297616,0.187908,3.2
-4.15805e-08,0.95125,3.2
-0.0297616,0.187908,3.2
-0.293952,0.904692,3.2
-0.0863717,0.169514,3.2
-0.559131,0.769577,3.2
-0.134527,0.134527,3.2
-0.769578,0.559131,3.2
-0.169514,0.0863717,3.2
-0.904693,0.293952,3.2
-0.187908,0.0297616,3.2
-0.95125,-8.31609e-08,3.2
-0.187908,-0.0297617,3.2
-0.904693,-0.293952,3.2
-0.169514,-0.0863717,3.2
-0.769577,-0.559131,3.2
-0.134527,-0.134527,3.2
-0.559131,-0.769578,3.2
-0.0863716,-0.169514,3.2
-0.293953,-0.904692,3.2
-0.0297617,-0.187908,3.2
1.13435e-08,-0.95125,3.2
0.0297617,-0.187908,3.2
0.293953,-0.904692,3.2
0.0863717,-0.169514,3.2
0.559131,-0.769577,3.2
0.134527,-0.134527,3.2
0.769578,-0.55913,3.2
0.169514,-0.0863716,3.2
0.904693,-0.293952,3.2
0.187908,-0.0297616,3.2
0.95125,0,3.2
